id,country,electricity_prod
4,China,"4,977,000,000,000"
3,United States,"4,099,000,000,000"
27,European Union,"3,255,000,000,000"
1,Russia,"1,057,000,000,000"
7,India,"985,400,000,000"
62,Japan,"936,200,000,000"
2,Canada,"618,900,000,000"
5,Brazil,"530,700,000,000"
43,France,"530,600,000,000"
63,Germany,"526,600,000,000"
109,"Korea, South","485,100,000,000"
80,United Kingdom,"342,100,000,000"
72,Italy,"299,300,000,000"
14,Mexico,"296,000,000,000"
52,Spain,"276,800,000,000"
25,South Africa,"257,900,000,000"
139,Taiwan,"252,200,000,000"
18,Iran,"239,700,000,000"
13,Saudi Arabia,"239,200,000,000"
6,Australia,"225,500,000,000"
37,Turkey,"217,700,000,000"
46,Ukraine,"198,100,000,000"
15,Indonesia,"173,800,000,000"
51,Thailand,"173,300,000,000"
70,Poland,"153,400,000,000"
56,Sweden,"148,700,000,000"
30,Egypt,"138,700,000,000"
33,Venezuela,"127,600,000,000"
68,Norway,"125,200,000,000"
8,Argentina,"119,300,000,000"
67,Malaysia,"118,000,000,000"
66,Vietnam,"117,000,000,000"
135,Netherlands,"106,700,000,000"
115,United Arab Emirates,"102,700,000,000"
36,Pakistan,"94,650,000,000"
9,Kazakhstan,"90,530,000,000"
141,Belgium,"83,370,000,000"
116,Czech Republic,"82,190,000,000"
65,Finland,"70,340,000,000"
114,Austria,"69,000,000,000"
73,Philippines,"67,450,000,000"
38,Chile,"62,860,000,000"
26,Colombia,"61,820,000,000"
83,Romania,"60,390,000,000"
136,Switzerland,"60,180,000,000"
97,Greece,"56,200,000,000"
154,Israel,"55,770,000,000"
158,Kuwait,"55,550,000,000"
60,Paraguay,"53,530,000,000"
57,Uzbekistan,"52,530,000,000"
111,Portugal,"49,920,000,000"
59,Iraq,"47,400,000,000"
10,Algeria,"46,250,000,000"
192,Singapore,"44,410,000,000"
89,Syria,"43,760,000,000"
76,New Zealand,"43,540,000,000"
105,Bulgaria,"43,390,000,000"
184,Hong Kong,"41,300,000,000"
95,Bangladesh,"40,080,000,000"
20,Peru,"38,400,000,000"
117,Serbia,"37,860,000,000"
110,Hungary,"34,280,000,000"
134,Denmark,"33,710,000,000"
86,Belarus,"32,820,000,000"
166,Qatar,"32,340,000,000"
17,Libya,"29,720,000,000"
120,Ireland,"26,040,000,000"
32,Nigeria,"24,870,000,000"
131,Slovakia,"24,390,000,000"
74,Ecuador,"21,840,000,000"
58,Morocco,"21,130,000,000"
99,"Korea, North","21,040,000,000"
163,Puerto Rico,"20,020,000,000"
113,Azerbaijan,"19,440,000,000"
71,Oman,"18,630,000,000"
106,Cuba,"17,800,000,000"
108,Iceland,"17,080,000,000"
96,Tajikistan,"16,900,000,000"
129,Bosnia and Herzegovina,"16,500,000,000"
53,Turkmenistan,"15,660,000,000"
155,Slovenia,"15,170,000,000"
93,Tunisia,"15,140,000,000"
87,Kyrgyzstan,"14,900,000,000"
35,Mozambique,"14,830,000,000"
170,Lebanon,"14,810,000,000"
112,Jordan,"14,640,000,000"
188,Bahrain,"13,160,000,000"
132,Dominican Republic,"13,090,000,000"
123,Lithuania,"12,270,000,000"
133,Estonia,"12,190,000,000"
122,Sri Lanka,"11,520,000,000"
39,Zambia,"11,190,000,000"
121,Georgia,"9,694,000,000"
91,Uruguay,"9,500,000,000"
130,Costa Rica,"9,473,000,000"
127,Croatia,"9,281,000,000"
82,Ghana,"8,213,000,000"
107,Guatemala,"8,146,000,000"
174,Trinidad and Tobago,"7,998,000,000"
61,Zimbabwe,"7,808,000,000"
11,"Congo, Democratic Republic of the","7,804,000,000"
145,Albania,"7,481,000,000"
143,Armenia,"7,432,000,000"
40,Burma,"7,346,000,000"
49,Kenya,"7,330,000,000"
50,Yemen,"7,292,000,000"
118,Panama,"7,257,000,000"
137,Bhutan,"7,230,000,000"
16,Sudan,"7,193,000,000"
28,Bolivia,"6,940,000,000"
103,Honduras,"6,486,000,000"
124,Latvia,"6,412,000,000"
150,Macedonia,"5,810,000,000"
54,Cameroon,"5,761,000,000"
153,El Salvador,"5,728,000,000"
69,Cote d'Ivoire,"5,721,000,000"
169,Kosovo,"5,160,000,000"
23,Angola,"5,118,000,000"
27,Ethiopia,"4,929,000,000"
19,Mongolia,"4,480,000,000"
171,Cyprus,"4,443,000,000"
31,Tanzania,"4,302,000,000"
168,Jamaica,"3,957,000,000"
162,Montenegro,"3,945,000,000"
98,Nicaragua,"3,824,000,000"
173,Brunei,"3,723,000,000"
84,Laos,"3,629,000,000"
94,Nepal,"3,431,000,000"
55,Papua New Guinea,"3,350,000,000"
88,Senegal,"2,769,000,000"
181,Mauritius,"2,628,000,000"
81,Uganda,"2,406,000,000"
208,Malta,"2,168,000,000"
179,Luxembourg,"2,070,000,000"
156,New Caledonia,"1,978,000,000"
100,Malawi,"1,973,000,000"
161,"Bahamas, The","1,930,000,000"
77,Gabon,"1,777,000,000"
195,Guam,"1,734,000,000"
34,Namibia,"1,643,000,000"
92,Suriname,"1,570,000,000"
47,Madagascar,"1,211,000,000"
200,Curacao,"1,167,000,000"
90,Cambodia,"1,019,000,000"
140,Moldova,"1,016,000,000"
202,Barbados,"1,002,000,000"
41,Afghanistan,"986,100,000"
218,Aruba,"980,000,000"
79,Guinea,"969,000,000"
42,South Sudan,"881,300,000"
157,Fiji,"836,100,000"
182,Virgin Islands,"794,000,000"
148,Haiti,"726,000,000"
29,Mauritania,"701,000,000"
85,Guyana,"700,000,000"
232,Bermuda,"675,000,000"
175,French Polynesia,"672,000,000"
75,Burkina Faso,"670,000,000"
211,Cayman Islands,"594,000,000"
237,Macau,"561,000,000"
64,"Congo, Republic of the","559,000,000"
152,Belize,"524,200,000"
24,Mali,"520,000,000"
159,Swaziland,"496,000,000"
172,West Bank,"445,000,000"
48,Botswana,"429,600,000"
193,Saint Lucia,"362,000,000"
104,Liberia,"335,000,000"
151,Djibouti,"325,000,000"
44,Somalia,"310,000,000"
236,Sint Maarten,"304,300,000"
210,Maldives,"301,100,000"
101,Eritrea,"292,500,000"
176,Cabo Verde,"287,000,000"
199,Seychelles,"283,000,000"
149,Rwanda,"280,200,000"
12,Greenland,"276,600,000"
183,Faroe Islands,"261,000,000"
22,Niger,"250,000,000"
167,"Gambia, The","230,000,000"
207,Grenada,"201,400,000"
186,Turks and Caicos Islands,"200,000,000"
142,Lesotho,"200,000,000"
191,"Micronesia, Federated States of","192,000,000"
243,Gibraltar,"166,400,000"
45,Central African Republic,"160,000,000"
216,American Samoa,"155,000,000"
147,Burundi,"152,000,000"
119,Sierra Leone,"145,000,000"
102,Benin,"142,100,000"
204,Saint Vincent and the Grenadines,"136,000,000"
212,Saint Kitts and Nevis,"135,000,000"
160,Timor-Leste,"131,700,000"
126,Togo,"127,100,000"
178,Samoa,"120,200,000"
201,Antigua and Barbuda,"115,000,000"
189,Dominica,"100,500,000"
21,Chad,"98,000,000"
146,Equatorial Guinea,"97,000,000"
196,Andorra,"91,240,000"
78,Western Sahara,"90,000,000"
144,Solomon Islands,"82,000,000"
138,Guinea-Bissau,"67,000,000"
164,Vanuatu,"55,000,000"
214,Saint Pierre and Miquelon,"53,000,000"
220,British Virgin Islands,"50,000,000"
190,Tonga,"41,000,000"
180,Comoros,"40,000,000"
240,Nauru,"35,000,000"
215,Cook Islands,"31,130,000"
185,Sao Tome and Principe,"30,000,000"
187,Kiribati,"25,000,000"
226,Montserrat,"24,000,000"
165,Falkland Islands (Islas Malvinas),"19,000,000"
209,"Saint Helena, Ascension, and Tristan da Cunha","8,000,000"
213,Niue,"3,000,000"
197,Northern Mariana Islands,"60,600"
206,Gaza Strip,"51,000"
