id,country,forex_gold_reserves
4,China,"$3,820,000,000,000 "
62,Japan,"$1,268,000,000,000 "
27,European Union,"$863,800,000,000 "
13,Saudi Arabia,"$739,500,000,000 "
136,Switzerland,"$531,100,000,000 "
1,Russia,"$515,600,000,000 "
139,Taiwan,"$414,500,000,000 "
5,Brazil,"$378,300,000,000 "
109,"Korea, South","$341,800,000,000 "
184,Hong Kong,"$309,000,000,000 "
7,India,"$277,000,000,000 "
192,Singapore,"$270,500,000,000 "
63,Germany,"$248,900,000,000 "
10,Algeria,"$192,500,000,000 "
43,France,"$184,500,000,000 "
72,Italy,"$181,700,000,000 "
51,Thailand,"$167,600,000,000 "
14,Mexico,"$167,100,000,000 "
3,United States,"$150,200,000,000 "
67,Malaysia,"$139,400,000,000 "
17,Libya,"$120,900,000,000 "
37,Turkey,"$117,600,000,000 "
70,Poland,"$107,800,000,000 "
80,United Kingdom,"$105,100,000,000 "
134,Denmark,"$89,500,000,000 "
73,Philippines,"$85,040,000,000 "
15,Indonesia,"$83,450,000,000 "
154,Israel,"$80,740,000,000 "
59,Iraq,"$71,240,000,000 "
2,Canada,"$68,550,000,000 "
18,Iran,"$68,060,000,000 "
20,Peru,"$65,150,000,000 "
115,United Arab Emirates,"$58,040,000,000 "
135,Netherlands,"$54,820,000,000 "
83,Romania,"$53,410,000,000 "
56,Sweden,"$52,230,000,000 "
170,Lebanon,"$51,950,000,000 "
68,Norway,"$51,860,000,000 "
52,Spain,"$50,590,000,000 "
6,Australia,"$48,800,000,000 "
25,South Africa,"$48,460,000,000 "
32,Nigeria,"$47,700,000,000 "
116,Czech Republic,"$44,310,000,000 "
26,Colombia,"$43,740,000,000 "
166,Qatar,"$40,090,000,000 "
38,Chile,"$39,890,000,000 "
110,Hungary,"$38,490,000,000 "
23,Angola,"$37,940,000,000 "
158,Kuwait,"$34,350,000,000 "
8,Argentina,"$33,650,000,000 "
66,Vietnam,"$32,490,000,000 "
141,Belgium,"$30,770,000,000 "
9,Kazakhstan,"$29,340,000,000 "
114,Austria,"$27,210,000,000 "
111,Portugal,"$22,660,000,000 "
53,Turkmenistan,"$22,350,000,000 "
46,Ukraine,"$21,950,000,000 "
33,Venezuela,"$21,150,000,000 "
105,Bulgaria,"$20,690,000,000 "
76,New Zealand,"$20,010,000,000 "
58,Morocco,"$19,160,000,000 "
71,Oman,"$17,700,000,000 "
30,Egypt,"$17,030,000,000 "
57,Uzbekistan,"$17,000,000,000 "
237,Macau,"$16,600,000,000 "
91,Uruguay,"$16,320,000,000 "
117,Serbia,"$15,870,000,000 "
95,Bangladesh,"$15,740,000,000 "
127,Croatia,"$15,660,000,000 "
28,Bolivia,"$14,460,000,000 "
113,Azerbaijan,"$13,080,000,000 "
112,Jordan,"$11,830,000,000 "
36,Pakistan,"$11,180,000,000 "
65,Finland,"$10,600,000,000 "
123,Lithuania,"$10,370,000,000 "
174,Trinidad and Tobago,"$10,070,000,000 "
40,Burma,"$8,278,000,000 "
93,Tunisia,"$8,113,000,000 "
48,Botswana,"$7,933,000,000 "
130,Costa Rica,"$7,406,000,000 "
97,Greece,"$7,255,000,000 "
124,Latvia,"$7,220,000,000 "
107,Guatemala,"$7,118,000,000 "
122,Sri Lanka,"$6,452,000,000 "
60,Paraguay,"$6,336,000,000 "
82,Ghana,"$6,016,000,000 "
41,Afghanistan,"$5,983,000,000 "
188,Bahrain,"$5,933,000,000 "
108,Iceland,"$5,604,000,000 "
49,Kenya,"$5,541,000,000 "
50,Yemen,"$5,538,000,000 "
90,Cambodia,"$5,415,000,000 "
64,"Congo, Republic of the","$5,239,000,000 "
106,Cuba,"$4,993,000,000 "
86,Belarus,"$4,513,000,000 "
132,Dominican Republic,"$4,379,000,000 "
31,Tanzania,"$4,343,000,000 "
94,Nepal,"$4,339,000,000 "
129,Bosnia and Herzegovina,"$4,200,000,000 "
69,Cote d'Ivoire,"$4,085,000,000 "
146,Equatorial Guinea,"$4,027,000,000 "
81,Uganda,"$3,579,000,000 "
27,Ethiopia,"$3,382,000,000 "
54,Cameroon,"$3,353,000,000 "
121,Georgia,"$3,317,000,000 "
181,Mauritius,"$3,286,000,000 "
35,Mozambique,"$2,990,000,000 "
55,Papua New Guinea,"$2,926,000,000 "
150,Macedonia,"$2,906,000,000 "
153,El Salvador,"$2,855,000,000 "
39,Zambia,"$2,833,000,000 "
118,Panama,"$2,666,000,000 "
74,Ecuador,"$2,625,000,000 "
140,Moldova,"$2,600,000,000 "
77,Gabon,"$2,470,000,000 "
103,Honduras,"$2,414,000,000 "
145,Albania,"$2,302,000,000 "
34,Namibia,"$2,267,000,000 "
131,Slovakia,"$2,258,000,000 "
87,Kyrgyzstan,"$2,199,000,000 "
88,Senegal,"$2,150,000,000 "
168,Jamaica,"$1,900,000,000 "
89,Syria,"$1,895,000,000 "
98,Nicaragua,"$1,890,000,000 "
143,Armenia,"$1,863,000,000 "
120,Ireland,"$1,707,000,000 "
11,"Congo, Democratic Republic of the","$1,582,000,000 "
149,Rwanda,"$1,354,000,000 "
148,Haiti,"$1,335,000,000 "
21,Chad,"$1,304,000,000 "
47,Madagascar,"$1,249,000,000 "
75,Burkina Faso,"$1,115,000,000 "
92,Suriname,"$1,008,000,000 "
155,Slovenia,"$993,700,000 "
179,Luxembourg,"$991,000,000 "
157,Fiji,"$963,700,000 "
142,Lesotho,"$857,900,000 "
85,Guyana,"$854,700,000 "
171,Cyprus,"$853,000,000 "
84,Laos,"$845,400,000 "
161,"Bahamas, The","$830,000,000 "
159,Swaziland,"$801,400,000 "
102,Benin,"$720,300,000 "
202,Barbados,"$712,600,000 "
96,Tajikistan,"$592,300,000 "
208,Malta,"$582,700,000 "
126,Togo,"$531,400,000 "
61,Zimbabwe,"$437,000,000 "
176,Cabo Verde,"$426,200,000 "
162,Montenegro,"$400,000,000 "
133,Estonia,"$372,300,000 "
100,Malawi,"$364,200,000 "
199,Seychelles,"$362,400,000 "
210,Maldives,"$356,000,000 "
147,Burundi,"$314,600,000 "
229,San Marino,"$308,600,000 "
152,Belize,"$273,000,000 "
167,"Gambia, The","$251,200,000 "
16,Sudan,"$202,200,000 "
101,Eritrea,"$192,900,000 "
79,Guinea,"$183,100,000 "
164,Vanuatu,"$174,200,000 "
178,Samoa,"$168,700,000 "
190,Tonga,"$147,100,000 "
204,Saint Vincent and the Grenadines,"$115,000,000 "
189,Dominica,"$90,000,000 "
191,"Micronesia, Federated States of","$75,060,000 "
185,Sao Tome and Principe,"$46,600,000 "
226,Montserrat,"$32,080,000 "
